Id,Category,Title,Leadshhet File,Date,Poster,Comments,title_url,ls_url,poster_url
75,Live Performance,"""Confirmation""",,"Oct 17, 2018",Robert Keller,,X0lJXcfL-g8,,
76,Live Performance,"""Benny's Dream""",,"Nov 4, 2011",Robert Keller,,AIumatTEcmU,,
77,Play-along,"""On Green Dolphin Street"" C to Eb version, play-along, with in & out heads",,"Nov 27, 2018",Robert Keller,,https://www.youtube.com/edit?o=U&video_id=cOGAU762m20&sa=D&ust=1545660781599000&usg=AFQjCNFSke5qJlvVkzPgD3bOsDF8P5qbsw,,
78,Play-along,"""These Are Soulful Days"" play-along",,"Nov 9, 2018",Robert Keller,,KvYsz_ZzfEw,,
79,Play-along,"""The Eternal Triangle"" play-along at practice speed 140 BPM",,"Oct 9, 2018",Robert Keller,,S9PJbBdxx34,,
80,Play-along,"""Giant Steps"" slow (120 BPM) play-along",,"Sep 1, 2018",Robert Keller,,9P8iEot1jec,,
81,Presentation,Real-Time Input and Trading with Impro-Visor,,"Jul 21, 2016",Robert Keller,,Xfk8vR2vsb4,,
82,Presentation,A Bite Of Learning Talk: October 2012,,"Nov 27, 2012",Robert Keller,,aW2-9GpNv8U,,
83,Presentation,A Microbiome Musical: Transformation of Data into Choral Music,,"Oct 15, 2014",Carl Bruce,,gJTBGtZIHFg,,https://www.youtube.com/channel/UC-KP0ipQ8kIRECT68bVYFGQ
84,,Presentation on Motif Discovery and Utilization in Impro-Visor,,"Sep 7, 2018",Robert Keller,,b6ybsRev4Mw,,
85,,REU 2016 Impro-Visor passive and active trading,,"Jun 1, 2016",Robert Keller,,ERu-SlVUWWc,,
86,,REU 2015 Impro-Visor Team Presentation 8 July 2015,,"Jul 8, 2015",Robert Keller,,Oi82Y4MNdn8,,
87,Trading play-along,"""Cherokee"" playalong: Trading fours, Impro-Visor first, 160 BPM",,"Sep 30, 2018",Robert Keller,,GHg_gz2L9zc,,
88,Trading play-along,"""Up Jumped Spring"" play-along trading fours with Impro-Visor playing first",,"Sep 12, 2018",Robert Keller,,EZI2bPLLvzA,,
89,Trading play-along,"""Up Jumped Spring"" play-along trading fours with user playing first",,"Sep 12, 2018",Robert Keller,,snXo6Msgb5c,,
90,Trading play-along,"12-Bar Blues in F Play-along, Trading Fours at 160 BPM",,"Sep 2, 2018",Robert Keller,,MkSSCgicHsY,,
91,Trading play-along,Slow and Simple Bb Blues play-along for Trading Twos (120 BPM),,"Sep 2, 2018",Robert Keller,,ToG4AOQVZEA,,
92,Tutorial,Creating Your Own Leadsheets and Play-Alongs Using Impro-Visor,,"Dec 12, 2018",Robert Keller,,z3Zm5CEwLK4,,
93,Tutorial,"Impro-Visor editing, Part 2",,"Sep 28, 2018",Robert Keller,,Q-UgN65BitQ,,
94,Tutorial,Impro-Visor Initial Editing Tutorial,,"Sep 12, 2018",Robert Keller,,JN2TwMytXZw,,
95,Tutorial,Improvisor & Kontakt Player 5 sous Ubuntu 12.04 utilisant wine1.4 & wineasio 0.9.0,,"Dec 7, 2012",bunties,,FE9dstnfNq4,,https://www.youtube.com/channel/UCcPtxDTIz8VmLrRMxoNlNsw
96,Tutorial,Comment créer vos backtracks (accompagnements) avec Impro-Visor,,"Feb 9, 2012",guitarcoul,in French,J8o5k779DmI,,https://www.youtube.com/channel/UCqoPfI6mysvWrXD3m600pcA
97,Tutorial,How to send MIDI from Impro-Visor to VSTi plug-ins & record performances,,"Dec 31, 2011",Steven Zydek,,ICH5N-NaHLI,,https://www.youtube.com/channel/UCO_9Vm0M6D0-8jzS2kn9lhg
98,Tutorial,Impro-Visor Tutorial - Editing Basics,,"Nov 8, 2010",musician2030,,HJ6ZtOYGwoU,,https://www.youtube.com/channel/UCoDYg7xZ40l5nAWtW1orwsg
